RouteNumber,Stop,latitude,longitude,StopNumber
1,Shaw Street Trinity College,53.34484903,-6.253389959,400
1,Westmoreland Street Dublin City South,53.34627445,-6.259279547,319
1,O'Connell St Upper Dublin,53.35156088,-6.261227292,278
1,Parnell Square West Rotunda,53.35339214,-6.265389106,10
1,Upper Dorset Street Phibsborough,53.35710756,-6.264381812,12
1,Dorset Street Lower Phibsborough,53.35853124,-6.262776563,14
1,Innisfallen Parade Ballybough,53.36026673,-6.260978021,15
1,Drumcondra Rail Stn Drumcondra,53.36307835,-6.258399329,17
1,Dargle Road Drumcondra,53.36585593,-6.255956802,18
1,Botanic Avenue Drumcondra,53.36723492,-6.255600005,19
1,DCU St Patrick's Drumcondra,53.37010124,-6.254310557,21
1,DCU St Patrick's Drumcondra,53.37155352,-6.253439576,7602
1,Wellpark Avenue Drumcondra,53.37395795,-6.2519135,85
1,Whitehall College Whitehall,53.37639279,-6.250010004,203
1,Highfield Hospital Whitehall,53.37958835,-6.246662216,204
1,Iveragh Road Whitehall,53.38137535,-6.245326093,205
1,Whitehall Church Whitehall,53.38326285,-6.24410586,1620
1,Swords Road Whitehall,53.38794057,-6.24498087,220
1,Shanowen Road Santry,53.38972126,-6.24689225,221
1,Shanliss Road Santry,53.38994545,-6.249303659,222
1,Shanliss Drive Santry,53.39106232,-6.25191928,223
1,Shanard Road Santry,53.39083484,-6.254183846,224
1,Shanowen Avenue Santry,53.39066672,-6.257438377,225
1,Shanard Avenue Santry,53.39114061,-6.262200535,226
4,Bluepool Pitches Monkstown,53.28851667,-6.153525124,7330
4,Lanesville Kill of The Grange,53.28644899,-6.159898987,2051
4,Grange Grove Deansgrange,53.28624451,-6.165292438,6086
4,Deansgrange Park Kill of The Grange,53.28700457,-6.167959747,3161
4,Rowan Park Deansgrange,53.28974879,-6.167557395,3162
4,Stradbrook Road Deansgrange,53.29250682,-6.166884314,3163
4,Temple Hill Monkstown,53.29560002,-6.169887276,3164
4,Frascati SC Blackrock,53.30138122,-6.18116339,3084
4,Rock Road Blackrock,53.30284574,-6.18407216,469
4,Blackrock Clinic Blackrock,53.30562582,-6.188981033,470
4,Blackrock College Blackrock,53.30687077,-6.191059245,471
4,Booterstown Station Booterstown,53.30788203,-6.194918316,472
4,Grotto Avenue Blackrock,53.30924059,-6.19738214,473
4,St Helen's Road Booterstown,53.31081826,-6.200077072,4705
4,Bellevue Avenue Booterstown,53.31270603,-6.20188895,475
4,Merrion Gates Merrion,53.31575151,-6.20476255,476
4,Herbert Avenue Merrion,53.31686309,-6.206952385,477
4,St Vincent's Hosp Merrion,53.31811433,-6.211267797,478
4,Merrion Centre Merrion,53.31914394,-6.213401287,479
4,Netherlands Embassy Merrion,53.32084996,-6.216287253,480
4,Wanderers FC Ballsbridge,53.32234467,-6.218266485,481
4,Shrewsbury Road Ballsbridge,53.32472779,-6.221965269,482
4,British Embassy Ballsbridge,53.32594411,-6.223971455,483
4,RDS Ballsbridge Ballsbridge,53.32825155,-6.228634935,485
4,American Embassy Ballsbridge,53.33085525,-6.233902252,487
4,Lansdowne Park Dublin City South,53.33309856,-6.236076936,488
4,St Mary's Rd South Dublin City South,53.33494204,-6.237352295,489
4,Haddington Road Beggar's Bush,53.33657388,-6.238906844,490
4,Mount Street Bridge Dublin City South,53.33781408,-6.241333491,491
4,Mount Street Lower Pembroke West,53.33858469,-6.243614499,492
4,Holles Street Merrion Square,53.33985342,-6.247376795,493
4,Clare Street Dublin City South,53.34143556,-6.251682282,494
4,Pearse Station Pearse Station,53.34359133,-6.249746779,495
4,Shaw Street Trinity College,53.34484903,-6.253389959,400
4,O'Connell St Upper Dublin,53.35134358,-6.261115937,281
4,Parnell Square West Rotunda,53.35274932,-6.264453878,6
4,Western Way Phibsborough,53.35504067,-6.269979262,194
4,Broadstone Phibsborough,53.35501178,-6.273570967,195
4,Fire Station Phibsborough,53.35688387,-6.273750749,196
4,Monck Place Phibsborough,53.3589526,-6.273231323,197
4,Phibsborough SC Phibsborough,53.3616254,-6.272837845,198
4,Munster Street Phibsborough,53.36362182,-6.27229118,199
4,Prospect Way Glasnevin,53.36742272,-6.271596408,200
4,Botanic Road Glasnevin,53.36829115,-6.270118575,201
4,Mobhi Road Glasnevin,53.3706702,-6.268068478,148
4,Tolka Bridge Glasnevin,53.37313863,-6.265984453,149
4,Na Fianna GAA Club Glasnevin,53.37565882,-6.264995229,150
4,Ballymun Road Glasnevin,53.37943894,-6.266585288,27
4,Hampstead Avenue Glasnevin,53.38157864,-6.266002339,28
4,Albert College Park Whitehall,53.38348823,-6.265669114,29
4,DCU Whitehall,53.38496651,-6.265338358,4680
4,Albert College Ct Wadelai,53.38638551,-6.265265623,90
4,Ballymun Road NS Wadelai,53.38842787,-6.265408142,91
4,Ballymun Library Ballymun,53.38983735,-6.264674241,92
4,Gateway Avenue Ballymun,53.39230149,-6.264153034,93
